exchange,shortname,symbol,longname,sector,industry,origin,type,currency
SHH,XINJIANG DAQO NEW ENERGY CO LTD,688303.SS,"Xinjiang Daqo New Energy Co.,Ltd.",Industrials,Specialty Industrial Machinery,yfinance,stock,CNY
SHH,HUA HONG SEMICONDUCTOR LIMITED,688347.SS,Hua Hong Semiconductor Limited,Technology,Semiconductors,yfinance,stock,CNY
SHH,GUANGZHOU AUTOMOBILE GROUP,601238.SS,"Guangzhou Automobile Group Co., Ltd.",Consumer Cyclical,Auto Manufacturers,yfinance,stock,CNY
SHH,CHIFENG JILONG GOLD MINING CO L,600988.SS,"Chifeng Jilong Gold Mining Co.,Ltd.",Basic Materials,Gold,yfinance,stock,CNY
SHH,SDIC CAPITAL CO LTD,600061.SS,"SDIC Capital Co.,Ltd",Financial Services,Capital Markets,yfinance,stock,CNY
SHH,SHANGHAI BAOSIGHT SOFTWARE,600845.SS,"Shanghai Baosight Software Co.,Ltd.",Technology,Software—Application,yfinance,stock,CNY
SHH,SICHUAN CHANGHONG,600839.SS,"Sichuan Changhong Electric Co.,Ltd.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",yfinance,stock,CNY
SHH,CHINA NATIONAL CHEMICAL ENGINEE,601117.SS,"China National Chemical Engineering Co., Ltd",Industrials,Engineering & Construction,yfinance,stock,CNY
SHH,HAINAN AIRPORT INFRASTRUCTURE C,600515.SS,"Hainan Airport Infrastructure Co., Ltd",Real Estate,Real Estate—Diversified,yfinance,stock,CNY
SHH,CHONGQING QIANLI TECHNOLOGY CO ,601777.SS,"Chongqing Afari Technology Co., Ltd.",Consumer Cyclical,Auto Manufacturers,yfinance,stock,CNY
SHH,ZHONGTAI SECURITIES CO. LTD.,600918.SS,"Zhongtai Securities Co., Ltd.",Financial Services,Capital Markets,yfinance,stock,CNY
SHH,KINGFA SCI.&TECH. CO. LTD.,600143.SS,"Kingfa Sci. & Tech. Co., Ltd.",Basic Materials,Specialty Chemicals,yfinance,stock,CNY
SHH,ACM RESEARCH (SHANGHAI) INC,688082.SS,"ACM Research (Shanghai), Inc.",Technology,Semiconductor Equipment & Materials,yfinance,stock,CNY
SHH,SUPCON TECHNOLOGY CO LTD,688777.SS,"Supcon Technology Co.,Ltd",Industrials,Electrical Equipment & Parts,yfinance,stock,CNY
SHH,WINGTECH TECHNOLOGY CO LTD,600745.SS,"Wingtech Technology Co.,Ltd",Technology,Communication Equipment,yfinance,stock,CNY
SHH,ENN NATURAL GAS CO LTD,600803.SS,"ENN Natural Gas Co.,Ltd.",Utilities,Utilities—Regulated Gas,yfinance,stock,CNY
SHH,CHINA NATIONAL SOFTWARE& SERVIC,600536.SS,China National Software & Service Company Limited,Technology,Software—Application,yfinance,stock,CNY
SHH,HANGZHOU SILAN MICROELECTRONICS,600460.SS,"Hangzhou Silan Microelectronics Co.,Ltd",Technology,Semiconductors,yfinance,stock,CNY
SHH,DATANG INTERNATIONAL POWER GENE,601991.SS,"Datang International Power Generation Co., Ltd.",Utilities,Utilities—Independent Power Producers,yfinance,stock,CNY
SHH,BEIJING WANTAI BIOLOGICAL PHARM,603392.SS,"Beijing Wantai Biological Pharmacy Enterprise Co., Ltd.",Healthcare,Biotechnology,yfinance,stock,CNY
SHH,ECOVACS ROBOTICS CO LTD,603486.SS,"Ecovacs Robotics Co., Ltd.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",yfinance,stock,CNY
SHH,DONGXING SECURITIES CO LTD,601198.SS,Dongxing Securities Corporation Limited,Financial Services,Capital Markets,yfinance,stock,CNY
SHH,SHANGHAI PHARMACEUTICALS HOLDIN,601607.SS,"Shanghai Pharmaceuticals Holding Co., Ltd",Healthcare,Medical Distribution,yfinance,stock,CNY
SHH,SAILUN GROUP CO LTD,601058.SS,"Sailun Group Co., Ltd.",Consumer Cyclical,Auto Parts,yfinance,stock,CNY
SHH,ZHEJIANG WEIMING ENVIRONMENT PR,603568.SS,"Zhejiang Weiming Environment Protection Co., Ltd.",Industrials,Waste Management,yfinance,stock,CNY
SHH,INNER MONGOLIA JUNZHENG ENERGY ,601216.SS,"Inner Mongolia Junzheng Energy & Chemical Group Co.,Ltd.",Basic Materials,Chemicals,yfinance,stock,CNY
SHH,SOOCHOW SECURITIES CO LTD,601555.SS,"Soochow Securities Co., Ltd.",Financial Services,Capital Markets,yfinance,stock,CNY
SHH,SHANGHAI BOCHU ELECTRONIC TECH ,688188.SS,Shanghai BOCHU Electronic Technology Corporation Limited.,Technology,Semiconductors,yfinance,stock,CNY
SHH,HUADIAN POWER INTERNATIONAL COR,600027.SS,Huadian Power International Corporation Limited,Utilities,Utilities—Regulated Electric,yfinance,stock,CNY
SHH,SHANGHAI ALLIST PHARMACEUTICALS,688578.SS,"Shanghai Allist Pharmaceuticals Co., Ltd.",Healthcare,Biotechnology,yfinance,stock,CNY
SHH,BAIC BLUEPARK NEW ENERGY TECHNO,600733.SS,"BAIC BluePark New Energy Technology Co., Ltd.",Consumer Cyclical,Auto Manufacturers,yfinance,stock,CNY
SHH,JIANGSU KING'S LUCK BREWERY JSC,603369.SS,"Jiangsu King's Luck Brewery Joint-Stock Co.,Ltd.",Consumer Defensive,Beverages—Wineries & Distilleries,yfinance,stock,CNY
SHH,YONGHUI SUPERSTORES CO LTD,601933.SS,"Yonghui Superstores Co., Ltd.",Consumer Cyclical,Department Stores,yfinance,stock,CNY
SHH,CAITONG SECURITIES CO. LTD,601108.SS,"Caitong Securities Co.,Ltd.",Financial Services,Asset Management,yfinance,stock,CNY
SHH,TIANFENG SECURITIES CO LTD,601162.SS,"Tianfeng Securities Co., Ltd.",Financial Services,Capital Markets,yfinance,stock,CNY
SHH,ZHESHANG SECURITIES CO. LTD,601878.SS,"Zheshang Securities Co., Ltd.",Financial Services,Capital Markets,yfinance,stock,CNY
SHH,BESTECHNIC (SHANGHAI) CO LTD,688608.SS,"Bestechnic (Shanghai) Co., Ltd.",Technology,Semiconductors,yfinance,stock,CNY
SHH,NINGBO ORIENT WIRES AND CABLES ,603606.SS,"Ningbo Orient Wires & Cables Co.,Ltd.",Industrials,Electrical Equipment & Parts,yfinance,stock,CNY
SHH,BEIJING TONG REN TANG CO,600085.SS,"Beijing Tongrentang Co., Ltd",Healthcare,Drug Manufacturers—Specialty & Generic,yfinance,stock,CNY
SHH,TSINGTAO BREWERY CO,600600.SS,Tsingtao Brewery Company Limited,Consumer Defensive,Beverages—Brewers,yfinance,stock,CNY
SHH,SHANGHAI INTERNATIONAL AIRPORT ,600009.SS,"Shanghai International Airport Co., Ltd.",Industrials,Airports & Air Services,yfinance,stock,CNY
SHH,BEIJING ROBOROCK TECHNOLOGY CO ,688169.SS,"Beijing Roborock Technology Co., Ltd.",Industrials,Specialty Industrial Machinery,yfinance,stock,CNY
SHH,BOC INTERNATIONAL (CHINA) CO LT,601696.SS,"BOC International (China) CO., LTD.",Financial Services,Capital Markets,yfinance,stock,CNY
SHH,CHANGZHOU XINGYU AUTOMOTIVE LIG,601799.SS,"Changzhou Xingyu Automotive Lighting Systems Co.,Ltd.",Consumer Cyclical,Auto Parts,yfinance,stock,CNY
SHH,TRINA SOLAR CO LTD,688599.SS,"Trina Solar Co., Ltd.",Technology,Solar,yfinance,stock,CNY
SHH,GUOLIAN MINSHENG SECURITIES CO ,601456.SS,"Guolian Minsheng Securities Co., Ltd.",Financial Services,Capital Markets,yfinance,stock,CNY
SHH,SHANXI LU'AN ENV.ENERGY DEV.CO.,601699.SS,"Shanxi Lu'an Environmental Energy Development Co., Ltd.",Energy,Thermal Coal,yfinance,stock,CNY
SHH,SHENERGY COMPANY LIMITED,600642.SS,Shenergy Company Limited,Utilities,Utilities—Diversified,yfinance,stock,CNY
SHH,SHENZHEN GOODIX TECHNOLOGY CO L,603160.SS,"Shenzhen Goodix Technology Co., Ltd.",Technology,Software—Application,yfinance,stock,CNY
SHH,ANGEL YEAST CO. LTD.,600298.SS,"Angel Yeast Co., Ltd",Consumer Defensive,Packaged Foods,yfinance,stock,CNY
SHH,CAPITAL SECURITIES CORPORATION ,601136.SS,Capital Securities Corporation Limited,Financial Services,Capital Markets,yfinance,stock,CNY
SHH,APT MEDICAL INC,688617.SS,APT Medical Inc.,Healthcare,Medical Devices,yfinance,stock,CNY
SHH,BANK OF CHANGSHA CO LTD,601577.SS,"Bank of Changsha Co., Ltd.",Financial Services,Banks—Regional,yfinance,stock,CNY
SHH,AMLOGIC (SHANGHAI) CO LTD,688099.SS,"Amlogic (Shanghai) Co.,Ltd.",Technology,Semiconductors,yfinance,stock,CNY
SHH,GUANGHUI ENERGY CO LTD,600256.SS,"Guanghui Energy Co., Ltd.",Energy,Oil & Gas Integrated,yfinance,stock,CNY
SHH,GONEO GROUP CO LTD,603195.SS,"Goneo Group Co., Ltd.",Industrials,Electrical Equipment & Parts,yfinance,stock,CNY
SHH,ZHEJIANG LONGSHENG GROUP CO,600352.SS,"Zhejiang Longsheng Group Co.,Ltd",Basic Materials,Specialty Chemicals,yfinance,stock,CNY
SHH,HANGZHOU FIRST APPLIED MATERIAL,603806.SS,"Hangzhou First Applied Material Co., Ltd.",Technology,Semiconductor Equipment & Materials,yfinance,stock,CNY
SHH,CHINA RAILWAY SIGNAL & COM CORP,688009.SS,China Railway Signal & Communication Corporation Limited,Industrials,Railroads,yfinance,stock,CNY
SHH,NINGBO SANXING MEDICAL ELECTRIC,601567.SS,"Ningbo Sanxing Medical Electric Co.,Ltd.",Industrials,Electrical Equipment & Parts,yfinance,stock,CNY
SHH,GALAXYCORE INC,688728.SS,GalaxyCore Inc.,Technology,Semiconductors,yfinance,stock,CNY
SHH,GUANGZHOU BAIYUNSHAN PHARMACEUT,600332.SS,Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited,Healthcare,Medical Distribution,yfinance,stock,CNY
SHH,EVERDISPLAY OPTRONICS (SHANGHAI,688538.SS,"Everdisplay Optronics (Shanghai) Co., Ltd.",Technology,Electronic Components,yfinance,stock,CNY
SHH,BEIJING TIANTAN BIOLOGICAL PROD,600161.SS,"Beijing Tiantan Biological Products Co., Ltd.",Healthcare,Biotechnology,yfinance,stock,CNY
SHH,YOUNGOR FASHION CO LTD,600177.SS,"Youngor Fashion Co., Ltd.",Consumer Cyclical,Apparel Manufacturing,yfinance,stock,CNY
SHH,HUAIBEI MINING HOLDINGS CO LTD,600985.SS,"Huaibei Mining Holdings Co.,Ltd.",Basic Materials,Specialty Chemicals,yfinance,stock,CNY
SHH,FLAT GLASS GROUP CO LTD,601865.SS,"Flat Glass Group Co., Ltd.",Technology,Solar,yfinance,stock,CNY
SHH,WINTIME ENERGY GROUP CO LTD,600157.SS,"Wintime Energy Group Co.,Ltd.",Energy,Thermal Coal,yfinance,stock,CNY
SHH,SINOLINK SECURITIES CO. LTD.,600109.SS,"Sinolink Securities Co., Ltd.",Financial Services,Asset Management,yfinance,stock,CNY
SHH,ZHUZHOU CRRC TIMES ELECTRIC CO ,688187.SS,"Zhuzhou CRRC Times Electric Co., Ltd.",Industrials,Railroads,yfinance,stock,CNY
NMS,NVIDIA Corporation,NVDA,NVIDIA Corporation,Technology,Semiconductors,alpaca,stock,USD
NMS,Apple Inc.,AAPL,Apple Inc.,Technology,Consumer Electronics,alpaca,stock,USD
NMS,Microsoft Corporation,MSFT,Microsoft Corporation,Technology,Software—Infrastructure,alpaca,stock,USD
NMS,"Amazon.com, Inc.",AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,alpaca,stock,USD
NMS,Alphabet Inc.,GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,alpaca,stock,USD
NMS,Broadcom Inc.,AVGO,Broadcom Inc.,Technology,Semiconductors,alpaca,stock,USD
NMS,Alphabet Inc.,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,alpaca,stock,USD
NMS,"Meta Platforms, Inc.",META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,alpaca,stock,USD
NMS,"Tesla, Inc.",TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,alpaca,stock,USD
NGM,Direxion Daily BRKB Bull 2X Sha,BRKU,,,,alpaca,stock,USD
NYQ,JP Morgan Chase & Co.,JPM,JPMorgan Chase & Co.,Financial Services,Banks—Diversified,alpaca,stock,USD
NYQ,Eli Lilly and Company,LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers—General,alpaca,stock,USD
NYQ,Visa Inc.,V,Visa Inc.,Financial Services,Credit Services,alpaca,stock,USD
NYQ,Exxon Mobil Corporation,XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,alpaca,stock,USD
NYQ,Johnson & Johnson,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers—General,alpaca,stock,USD
NMS,Walmart Inc.,WMT,Walmart Inc.,Consumer Defensive,Discount Stores,alpaca,stock,USD
NYQ,Mastercard Incorporated,MA,Mastercard Incorporated,Financial Services,Credit Services,alpaca,stock,USD
NMS,Costco Wholesale Corporation,COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,alpaca,stock,USD
NMS,Palantir Technologies Inc.,PLTR,Palantir Technologies Inc.,Technology,Software—Infrastructure,alpaca,stock,USD
NYQ,AbbVie Inc.,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers—General,alpaca,stock,USD
NMS,"Micron Technology, Inc.",MU,"Micron Technology, Inc.",Technology,Semiconductors,alpaca,stock,USD
NYQ,"Home Depot, Inc. (The)",HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,alpaca,stock,USD
NMS,"Netflix, Inc.",NFLX,"Netflix, Inc.",Communication Services,Entertainment,alpaca,stock,USD
NMS,"Advanced Micro Devices, Inc.",AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,alpaca,stock,USD
NYQ,Bank of America Corporation,BAC,Bank of America Corporation,Financial Services,Banks—Diversified,alpaca,stock,USD
NYQ,Procter & Gamble Company (The),PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,alpaca,stock,USD
NYQ,GE Aerospace,GE,GE Aerospace,Industrials,Aerospace & Defense,alpaca,stock,USD
NYQ,Oracle Corporation,ORCL,Oracle Corporation,Technology,Software—Infrastructure,alpaca,stock,USD
NYQ,Chevron Corporation,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,alpaca,stock,USD
NYQ,UnitedHealth Group Incorporated,UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,alpaca,stock,USD
NYQ,"Caterpillar, Inc.",CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,alpaca,stock,USD
NMS,"Cisco Systems, Inc.",CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,alpaca,stock,USD
NYQ,"Goldman Sachs Group, Inc. (The)",GS,"The Goldman Sachs Group, Inc.",Financial Services,Capital Markets,alpaca,stock,USD
NYQ,Wells Fargo & Company,WFC,Wells Fargo & Company,Financial Services,Banks—Diversified,alpaca,stock,USD
NYQ,International Business Machines,IBM,International Business Machines Corporation,Technology,Information Technology Services,alpaca,stock,USD
NYQ,"Merck & Company, Inc.",MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers—General,alpaca,stock,USD
NMS,Lam Research Corporation,LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,alpaca,stock,USD
NYQ,Coca-Cola Company (The),KO,The Coca-Cola Company,Consumer Defensive,Beverages—Non-Alcoholic,alpaca,stock,USD
NYQ,Philip Morris International Inc,PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,alpaca,stock,USD
NYQ,RTX Corporation,RTX,RTX Corporation,Industrials,Aerospace & Defense,alpaca,stock,USD
NMS,"Applied Materials, Inc.",AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,alpaca,stock,USD
NYQ,Thermo Fisher Scientific Inc,TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,alpaca,stock,USD
NYQ,Morgan Stanley,MS,Morgan Stanley,Financial Services,Capital Markets,alpaca,stock,USD
NYQ,"Salesforce, Inc.",CRM,"Salesforce, Inc.",Technology,Software—Application,alpaca,stock,USD
NYQ,McDonald's Corporation,MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,alpaca,stock,USD
NMS,Intel Corporation,INTC,Intel Corporation,Technology,Semiconductors,alpaca,stock,USD
NYQ,Abbott Laboratories,ABT,Abbott Laboratories,Healthcare,Medical Devices,alpaca,stock,USD
NYQ,"Citigroup, Inc.",C,Citigroup Inc.,Financial Services,Banks—Diversified,alpaca,stock,USD
NMS,Linde plc,LIN,Linde plc,Basic Materials,Specialty Chemicals,alpaca,stock,USD
NMS,KLA Corporation,KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,alpaca,stock,USD
NYQ,Walt Disney Company (The),DIS,The Walt Disney Company,Communication Services,Entertainment,alpaca,stock,USD
NMS,"Pepsico, Inc.",PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages—Non-Alcoholic,alpaca,stock,USD
NYQ,Boeing Company (The),BA,The Boeing Company,Industrials,Aerospace & Defense,alpaca,stock,USD
NYQ,American Express Company,AXP,American Express Company,Financial Services,Credit Services,alpaca,stock,USD
NMS,"Intuitive Surgical, Inc.",ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,alpaca,stock,USD
NYQ,Amphenol Corporation,APH,Amphenol Corporation,Technology,Electronic Components,alpaca,stock,USD
NYQ,Accenture plc,ACN,Accenture plc,Technology,Information Technology Services,alpaca,stock,USD
NMS,Amgen Inc.,AMGN,Amgen Inc.,Healthcare,Drug Manufacturers—General,alpaca,stock,USD
NYQ,"Uber Technologies, Inc.",UBER,"Uber Technologies, Inc.",Technology,Software—Application,alpaca,stock,USD
NYQ,GE Vernova Inc.,GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,alpaca,stock,USD
NYQ,"TJX Companies, Inc. (The)",TJX,"The TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,alpaca,stock,USD
NMS,QUALCOMM Incorporated,QCOM,QUALCOMM Incorporated,Technology,Semiconductors,alpaca,stock,USD
NMS,Texas Instruments Incorporated,TXN,Texas Instruments Incorporated,Technology,Semiconductors,alpaca,stock,USD
NYQ,Charles Schwab Corporation (The,SCHW,The Charles Schwab Corporation,Financial Services,Capital Markets,alpaca,stock,USD
NYQ,"NextEra Energy, Inc.",NEE,"NextEra Energy, Inc.",Utilities,Utilities—Regulated Electric,alpaca,stock,USD
NYQ,S&P Global Inc.,SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,alpaca,stock,USD
NYQ,AT&T Inc.,T,AT&T Inc.,Communication Services,Telecom Services,alpaca,stock,USD
NMS,Booking Holdings Inc. Common St,BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,alpaca,stock,USD
NYQ,"BlackRock, Inc.",BLK,"BlackRock, Inc.",Financial Services,Asset Management,alpaca,stock,USD
NYQ,Verizon Communications Inc.,VZ,Verizon Communications Inc.,Communication Services,Telecom Services,alpaca,stock,USD
NMS,Applovin Corporation,APP,AppLovin Corporation,Communication Services,Advertising Agencies,alpaca,stock,USD
NYQ,"Lowe's Companies, Inc.",LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,alpaca,stock,USD
NMS,Intuit Inc.,INTU,Intuit Inc.,Technology,Software—Application,alpaca,stock,USD
NYQ,Danaher Corporation,DHR,Danaher Corporation,Healthcare,Diagnostics & Research,alpaca,stock,USD
NYQ,Capital One Financial Corporati,COF,Capital One Financial Corporation,Financial Services,Credit Services,alpaca,stock,USD
NMS,"Gilead Sciences, Inc.",GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers—General,alpaca,stock,USD
NMS,"Analog Devices, Inc.",ADI,"Analog Devices, Inc.",Technology,Semiconductors,alpaca,stock,USD
NYQ,"Pfizer, Inc.",PFE,Pfizer Inc.,Healthcare,Drug Manufacturers—General,alpaca,stock,USD
NYQ,Union Pacific Corporation,UNP,Union Pacific Corporation,Industrials,Railroads,alpaca,stock,USD
NMS,Honeywell International Inc.,HON,Honeywell International Inc.,Industrials,Conglomerates,alpaca,stock,USD
NYQ,"ServiceNow, Inc.",NOW,"ServiceNow, Inc.",Technology,Software—Application,alpaca,stock,USD
NYQ,"Arista Networks, Inc.",ANET,"Arista Networks, Inc.",Technology,Computer Hardware,alpaca,stock,USD
NYQ,Boston Scientific Corporation,BSX,Boston Scientific Corporation,Healthcare,Medical Devices,alpaca,stock,USD
NYQ,"Eaton Corporation, PLC",ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,alpaca,stock,USD
NYQ,Deere & Company,DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,alpaca,stock,USD
NYQ,Welltower Inc.,WELL,Welltower Inc.,Real Estate,REIT—Healthcare Facilities,alpaca,stock,USD
NMS,"Palo Alto Networks, Inc.",PANW,"Palo Alto Networks, Inc.",Technology,Software—Infrastructure,alpaca,stock,USD
NMS,Adobe Inc.,ADBE,Adobe Inc.,Technology,Software—Application,alpaca,stock,USD
NYQ,Medtronic plc.,MDT,Medtronic plc,Healthcare,Medical Devices,alpaca,stock,USD
NYQ,Stryker Corporation,SYK,Stryker Corporation,Healthcare,Medical Devices,alpaca,stock,USD
NYQ,Newmont Corporation,NEM,Newmont Corporation,Basic Materials,Gold,alpaca,stock,USD
NYQ,"Prologis, Inc.",PLD,"Prologis, Inc.",Real Estate,REIT—Industrial,alpaca,stock,USD
NYQ,ConocoPhillips,COP,ConocoPhillips,Energy,Oil & Gas E&P,alpaca,stock,USD
NYQ,Progressive Corporation (The),PGR,The Progressive Corporation,Financial Services,Insurance—Property & Casualty,alpaca,stock,USD
NYQ,Parker-Hannifin Corporation,PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,alpaca,stock,USD
NYQ,Blackstone Inc.,BX,Blackstone Inc.,Financial Services,Asset Management,alpaca,stock,USD
NYQ,Lockheed Martin Corporation,LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,alpaca,stock,USD
NYQ,Bristol-Myers Squibb Company,BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers—General,alpaca,stock,USD
NMS,"CrowdStrike Holdings, Inc.",CRWD,"CrowdStrike Holdings, Inc.",Technology,Software—Infrastructure,alpaca,stock,USD
NMS,Vertex Pharmaceuticals Incorpor,VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,alpaca,stock,USD
NYQ,Chubb Limited,CB,Chubb Limited,Financial Services,Insurance—Property & Casualty,alpaca,stock,USD
NMS,Constellation Energy Corporatio,CEG,Constellation Energy Corporation,Utilities,Utilities—Independent Power Producers,alpaca,stock,USD
NMS,Starbucks Corporation,SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,alpaca,stock,USD
NMS,"Automatic Data Processing, Inc.",ADP,"Automatic Data Processing, Inc.",Technology,Software—Application,alpaca,stock,USD
NYQ,McKesson Corporation,MCK,McKesson Corporation,Healthcare,Medical Distribution,alpaca,stock,USD
NYQ,"Altria Group, Inc.",MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,alpaca,stock,USD
NYQ,CVS Health Corporation,CVS,CVS Health Corporation,Healthcare,Healthcare Plans,alpaca,stock,USD
NMS,Comcast Corporation,CMCSA,Comcast Corporation,Communication Services,Telecom Services,alpaca,stock,USD
NYQ,Intercontinental Exchange Inc.,ICE,"Intercontinental Exchange, Inc.",Financial Services,Financial Data & Stock Exchanges,alpaca,stock,USD
NMS,CME Group Inc.,CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,alpaca,stock,USD
NYQ,Southern Company (The),SO,The Southern Company,Utilities,Utilities—Regulated Electric,alpaca,stock,USD
NMS,"Synopsys, Inc.",SNPS,"Synopsys, Inc.",Technology,Software—Infrastructure,alpaca,stock,USD
NYQ,General Dynamics Corporation,GD,General Dynamics Corporation,Industrials,Aerospace & Defense,alpaca,stock,USD
NYQ,Duke Energy Corporation (Holdin,DUK,Duke Energy Corporation,Utilities,Utilities—Regulated Electric,alpaca,stock,USD
NMS,"T-Mobile US, Inc.",TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,alpaca,stock,USD
NYQ,3M Company,MMM,3M Company,Industrials,Conglomerates,alpaca,stock,USD
NYQ,Howmet Aerospace Inc.,HWM,Howmet Aerospace Inc.,Industrials,Aerospace & Defense,alpaca,stock,USD
NYQ,KKR & Co. Inc.,KKR,KKR & Co. Inc.,Financial Services,Asset Management,alpaca,stock,USD
NYQ,,MRSH,"Marsh & McLennan Companies, Inc.",Financial Services,Insurance Brokers,alpaca,stock,USD
NYQ,Northrop Grumman Corporation,NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,alpaca,stock,USD
NMS,"Cadence Design Systems, Inc.",CDNS,"Cadence Design Systems, Inc.",Technology,Software—Application,alpaca,stock,USD
NMS,"Robinhood Markets, Inc.",HOOD,"Robinhood Markets, Inc.",Financial Services,Capital Markets,alpaca,stock,USD
NYQ,The Bank of New York Mellon Cor,BK,The Bank of New York Mellon Corporation,Financial Services,Banks—Diversified,alpaca,stock,USD
NYQ,"Freeport-McMoRan, Inc.",FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,alpaca,stock,USD
NYQ,Trane Technologies plc,TT,Trane Technologies plc,Industrials,Building Products & Equipment,alpaca,stock,USD
NYQ,American Tower Corporation (REI,AMT,American Tower Corporation,Real Estate,REIT—Specialty,alpaca,stock,USD
NYQ,"Elevance Health, Inc.",ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,alpaca,stock,USD
NYQ,"PNC Financial Services Group, I",PNC,"The PNC Financial Services Group, Inc.",Financial Services,Banks—Regional,alpaca,stock,USD
NYQ,U.S. Bancorp,USB,U.S. Bancorp,Financial Services,Banks—Regional,alpaca,stock,USD
NYQ,Emerson Electric Company,EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,alpaca,stock,USD
NYQ,Moody's Corporation,MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges,alpaca,stock,USD
NYQ,CRH PLC,CRH,CRH plc,Basic Materials,Building Materials,alpaca,stock,USD
NYQ,Sherwin-Williams Company (The),SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,alpaca,stock,USD
NYQ,"Waste Management, Inc.",WM,"Waste Management, Inc.",Industrials,Waste Management,alpaca,stock,USD
NYQ,Transdigm Group Incorporated,TDG,TransDigm Group Incorporated,Industrials,Aerospace & Defense,alpaca,stock,USD
NYQ,"United Parcel Service, Inc.",UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,alpaca,stock,USD
NYQ,Cummins Inc.,CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,alpaca,stock,USD
NMS,"O'Reilly Automotive, Inc.",ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Auto Parts,alpaca,stock,USD
NMS,"Equinix, Inc.",EQIX,"Equinix, Inc.",Real Estate,REIT—Specialty,alpaca,stock,USD
NMS,"DoorDash, Inc.",DASH,"DoorDash, Inc.",Consumer Cyclical,Internet Retail,alpaca,stock,USD
NYQ,"HCA Healthcare, Inc.",HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,alpaca,stock,USD
NYQ,"Nike, Inc.",NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,alpaca,stock,USD
NMS,Western Digital Corporation,WDC,Western Digital Corporation,Technology,Computer Hardware,alpaca,stock,USD
NYQ,General Motors Company,GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,alpaca,stock,USD
NMS,"Regeneron Pharmaceuticals, Inc.",REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,alpaca,stock,USD
NYQ,The Cigna Group,CI,The Cigna Group,Healthcare,Healthcare Plans,alpaca,stock,USD
