exchange,shortname,symbol,longname,sector,industry,origin,type,currency
SHH,HUATAI SECURITIES CO LTD,601688.SS,"Huatai Securities Co., Ltd.",Financial Services,Capital Markets,yfinance,stock,CNY
SHH,INNER MONGOLIA YILI INDS. GP CO,600887.SS,"Inner Mongolia Yili Industrial Group Co., Ltd.",Consumer Defensive,Packaged Foods,yfinance,stock,CNY
HKG,CHINA STATE CON,3311.HK,China State Construction International Holdings Limited,Industrials,Engineering & Construction,yfinance,stock,HKD
NYQ,Autohome Inc.,ATHM,Autohome Inc.,Communication Services,Internet Content & Information,yfinance,stock,USD
SHH,NEW CHINA LIFE INSURANCE CO LTD,601336.SS,New China Life Insurance Company Ltd.,Financial Services,Insurance—Life,yfinance,stock,CNY
SHH,SHANDONG GOLD MINING CO LTD,600547.SS,"Shandong Gold Mining Co., Ltd.",Basic Materials,Gold,yfinance,stock,CNY
HKG,JIANGSU EXPRESS,0177.HK,Jiangsu Expressway Company Limited,Industrials,Infrastructure Operations,yfinance,stock,HKD
SHH,BEIJING KINGSOFT OFFICE SOFTWAR,688111.SS,"Beijing Kingsoft Office Software, Inc.",Technology,Software—Application,yfinance,stock,CNY
SHH,CRRC CORPORATION LIMITED,601766.SS,CRRC Corporation Limited,Industrials,Railroads,yfinance,stock,CNY
SHH,GIGADEVICE SEMICONDUCTOR INC,603986.SS,GigaDevice Semiconductor Inc.,Technology,Semiconductors,yfinance,stock,CNY
SHH,HENGLI PETROCHEMICAL CO LTD,600346.SS,"Hengli Petrochemical Co.,Ltd.",Basic Materials,Chemicals,yfinance,stock,CNY
SHH,SHENGYI TECHNOLOGY CO LTD,600183.SS,"Shengyi Technology Co.,Ltd.",Technology,Electronic Components,yfinance,stock,CNY
SHH,HAIER SMART HOME CO LTD,600690.SS,"Haier Smart Home Co., Ltd.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",yfinance,stock,CNY
HKG,CHINACOMSERVICE,0552.HK,China Communications Services Corporation Limited,Communication Services,Telecom Services,yfinance,stock,HKD
HKG,ZHEJIANGEXPRESS,0576.HK,"Zhejiang Expressway Co., Ltd.",Industrials,Infrastructure Operations,yfinance,stock,HKD
SHH,CHINA UNITED NETWORK COMMUNICAT,600050.SS,China United Network Communications Limited,Communication Services,Telecom Services,yfinance,stock,CNY
HKG,FOSUN INTL,0656.HK,Fosun International Limited,Industrials,Conglomerates,yfinance,stock,HKD
SHH,MONTAGE TECHNOLOGY CO LTD,688008.SS,"Montage Technology Co., Ltd.",Technology,Semiconductors,yfinance,stock,CNY
SHH,POSTAL SAVINGS BANK OF CHINA CO,601658.SS,"Postal Savings Bank of China Co., Ltd.",Financial Services,Banks—Regional,yfinance,stock,CNY
SHH,NINGXIA BAOFENG ENERGY GROUP CO,600989.SS,"Ningxia Baofeng Energy Group Co., Ltd.",Basic Materials,Chemicals,yfinance,stock,CNY
SHH,BAOSHAN IRON & STEEL CO,600019.SS,"Baoshan Iron & Steel Co., Ltd.",Basic Materials,Steel,yfinance,stock,CNY
